Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_base_link,0.00017935,0.0018838,0.038665,0,0,0,0.45399,0.00031392,5.1311E-09,6.0341E-09,0.00034489,-2.4366E-06,0.00052725,0,0,0,0,0,0,package://left_arm_description/meshes/left_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://left_arm_description/meshes/left_base_link.STL,,left-link0-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_link_1,-0.00109529335918426,0.00158432100362189,-0.00494979473059115,0,0,0,0.485026463246757,0.000324710887277216,-1.07713142915927E-08,-4.83157041007323E-06,0.00061925419676812,-9.71161354629019E-09,0.000443684285755112,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_1.STL,,left-link1-1,坐标系2,基准轴1,left_joint_0,revolute,0,0,0.1355,0,0,0,left_base_link,0,0,-1,40,10.472,-2.3562,2.8798,,,0.1,0.1,,,,
left_link_2,0.000508224298191348,-0.0449280282138882,-0.0206256236163859,0,0,0,0.0574247036424834,3.63772438524509E-05,-6.73097320771988E-08,2.4361029786039E-07,1.63998990434084E-05,8.38613176703722E-06,3.40084027627687E-05,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_2.STL,,left-link2-1,坐标系3,基准轴2,left_joint_1,revolute,0,0,0,1.5708,-1.5708,0,left_link_1,0,0,-1,40,10.472,-0.3491,3.0513,,,0.1,0.1,,,,
left_link_3,2.83802482036803E-07,-0.000605505330037032,0.054984322701974,0,0,0,0.347887365361116,0.00016909449015918,-5.64381355454147E-09,-3.74216751329525E-07,0.000190785450003569,6.28996978872466E-07,0.0001501394093245,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_3.STL,,left-link3-1,坐标系4,基准轴3,left_joint_2,revolute,0,-0.20975,0,1.5708,1.5708,0,left_link_2,0,0,-1,27,3.77,-2.5307,2.5307,,,0.1,0.1,,,,
left_link_4,0.000110401234317883,-0.0670069142247546,0.000940172282106119,0,0,0,0.192196245053756,0.000139241634507352,-1.09514406858182E-07,4.86638971490442E-08,7.39315447647571E-05,-1.40102816712551E-06,0.000152967351058858,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_4.STL,,left-link4-2,坐标系5,基准轴4,leftt_joint_3,revolute,0,0,0,1.5708,0,0,left_link_3,0,0,1,27,3.77,-1.4835,2.0944,,,0.1,0.1,,,,
left_link_5,0.000305709664333387,0.00111778275538414,0.08453196488493,0,0,0,0.229104472480576,0.000128732031959257,-3.70084067657107E-08,-2.59853293405133E-07,0.000171889502783524,8.03035899395303E-07,8.33795545006523E-05,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_5.STL,,left-link5-1,坐标系6,基准轴5,left_joint_4,revolute,0,-0.24,0,-1.5707963267949,0,0,left_link_4,0,0,-1,12.5,12.566,-2.4434,2.4434,,,0.1,0.1,,,,
left_link_6,-0.00109259369146801,-0.000479735518615576,-0.000148198512131464,0,0,0,0.139362135042712,6.4960146424318E-05,-1.55655636897026E-08,2.59648147811274E-07,4.7353477251241E-05,2.71283714204269E-08,4.56210094444337E-05,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_6.STL,,left-link6-1,坐标系7,基准轴7,left_joint_5,revolute,0,0,0,1.5708,0,0,left_link_5,0,0,1,12.5,12.566,-6.9813,6.9813,,,0.1,0.1,,,,
left_link_7,0.0286842428588672,6.10622663543836E-16,0.00370678756780378,0,0,0,0.0645715321756567,1.6246823902003E-05,-6.3863403085144E-20,2.30554210826466E-08,2.08555321432597E-05,4.85971131965754E-21,1.97081566842342E-05,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://left_arm_description/meshes/left_link_7.STL,,left-link7-1,坐标系8,基准轴6,left_joint_6,revolute,0,0,0,1.5708,0,-1.5708,left_link_6,0,0,-1,12.5,12.566,-1.5708,1.5708,,,0.1,0.1,,,,
